,country,founded,id,industry,linkedin_url,locality,name,region,size,website
97998,australia,,nilsen-group,electrical/electronic manufacturing,linkedin.com/company/nilsen-group,mulgrave,nilsen group,victoria,1001-5000,nilsen.com.au
98579,australia,1916.0,public-trustee-of-queensland,government administration,linkedin.com/company/public-trustee-of-queensland,brisbane,public trustee of queensland,queensland,501-1000,pt.qld.gov.au
98918,australia,2009.0,fort-knox-group,security and investigations,linkedin.com/company/fort-knox-group,,fort knox group,,201-500,fortknoxgroup.com
99116,australia,1958.0,theracgp,non-profit organization management,linkedin.com/company/theracgp,melbourne,the royal australian college of general practitioners (racgp),victoria,201-500,racgp.org.au
100255,australia,1983.0,superpartners,financial services,linkedin.com/company/superpartners,,superpartners,,1001-5000,superpartners.com.au
100970,australia,1971.0,gpt-group,commercial real estate,linkedin.com/company/gpt-group,,the gpt group,,501-1000,gpt.com.au
101714,new zealand,2013.0,intergrouplimited,construction,linkedin.com/company/intergrouplimited,ellerslie,intergroup,auckland,501-1000,intergroup.co.nz
102057,australia,1949.0,higgins-coatings,construction,linkedin.com/company/higgins-coatings,,higgins coatings,,501-1000,higgins.com.au
102540,australia,,tyco-environmental-systems,mechanical or industrial engineering,linkedin.com/company/tyco-environmental-systems,,tyco environmental systems,,201-500,cleanairsystems.com
104910,australia,,alreadymade.com,information technology and services,linkedin.com/company/alreadymade.com,,alreadymade.com,,501-1000,alreadymade.com
105118,new zealand,1987.0,docgovtnz,government administration,linkedin.com/company/docgovtnz,,department of conservation (doc),wellington,1001-5000,doc.govt.nz
107096,australia,,gforcecategorysolutions,retail,linkedin.com/company/gforcecategorysolutions,notting hill,gforce category solutions,victoria,201-500,gforceaus.com
107177,australia,1967.0,new-horizons-enterprises-limited,"health, wellness and fitness",linkedin.com/company/new-horizons-enterprises-limited,,new horizons enterprises limited,,1001-5000,newhorizons.net.au
107500,australia,1969.0,mcarthur,human resources,linkedin.com/company/mcarthur,south yarra,mcarthur,victoria,201-500,mcarthur.com.au
109333,australia,1983.0,unitex-granular-marble,building materials,linkedin.com/company/unitex-granular-marble,dandenong,unitex granular marble pty ltd,victoria,201-500,unitex.com.au
109422,australia,,medicaldirector,computer software,linkedin.com/company/medicaldirector,,medicaldirector,,201-500,medicaldirector.com
